,Year of Release,Game Title,Game Price,Score,Votes,Genre
341,2015,Timberman,0.99,8.18,11159,Casual
342,2015,Contradiction: Spot The Liar,12.99,8.16,2824,Detective
343,2015,Software Inc.,15.99,8.16,5918,Management
344,2015,DISTRAINT: Deluxe Edition,4.99,8.16,11126,Horror
345,2015,Resident Evil,4.99,8.16,19904,Survival Horror
346,2015,"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",0.0,8.15,9306,Comedy
347,2015,THE KING OF FIGHTERS 2002 UNLIMITED MATCH,14.99,8.15,3698,Fighting
348,2015,Hyperdimension Neptunia Re;Birth3 V Generation,14.99,8.15,3304,Anime
349,2015,METAL GEAR SOLID V: THE PHANTOM PAIN,4.99,8.15,83516,Stealth
350,2015,Spooky's Jump Scare Mansion,0.0,8.15,13604,Horror
351,2015,The Jackbox Party Pack 2,24.99,8.14,1842,Trivia
352,2015,Dungeon Warfare,9.99,8.14,1709,Tower Defense
353,2015,Mushihimesama,6.99,8.14,1202,Bullet Hell
354,2015,Relic Hunters Zero: Remix,0.0,8.13,6762,Looter Shooter
355,2015,SimplePlanes,12.99,8.12,9337,Automation
356,2015,The Silent Age,9.99,8.11,6774,Point & Click
357,2015,Five Nights at Freddy's 4,7.99,8.11,11092,Horror
358,2015,Higurashi When They Cry Hou - Ch.2 Watanagashi,7.99,8.11,1040,Visual Novel
359,2015,Car Mechanic Simulator 2015,19.99,8.11,14278,Automobile Sim
360,2015,Automation - The Car Company Tycoon Game,29.99,8.1,9665,Simulation
361,2015,Infinifactory,24.99,8.1,2281,Puzzle
362,2015,Chicken Invaders 5,4.99,8.1,889,Casual
363,2015,Love at First Sight,9.99,8.1,1272,Visual Novel
364,2015,Reassembly,14.99,8.1,3694,Building
365,2015,Human Resource Machine,14.99,8.09,3859,Programming
366,2015,HELLDIVERS™ Dive Harder Edition,19.99,8.09,23851,Online Co-Op
367,2015,Bullet Heaven 2,14.99,8.09,413,Bullet Hell
368,2015,Aviary Attorney,14.99,8.08,1963,Visual Novel
369,2015,Hero of the Kingdom II,7.99,8.07,2262,Adventure
370,2015,Kitty Powers' Matchmaker,9.99,8.07,1239,Simulation
371,2015,Prison Architect,29.99,8.07,65467,Simulation
372,2015,Paint it Back,7.99,8.06,484,Puzzle
373,2015,Tormentum - Dark Sorrow,11.99,8.06,2461,Point & Click
374,2015,Chroma Squad,14.99,8.05,4037,RPG
375,2015,12 Labours of Hercules,2.99,8.04,2934,Casual
376,2015,Viridi,0.0,8.04,8486,Relaxing
377,2015,Technobabylon,14.99,8.04,1383,Adventure
378,2015,Clicker Heroes,0.0,8.03,58785,Clicker
379,2015,Assault Android Cactus+,19.99,8.03,1826,Bullet Hell
380,2015,Lovers in a Dangerous Spacetime,14.99,8.03,3473,Local Co-Op
381,2015,Shantae and the Pirate's Curse,19.99,8.01,2471,Platformer
382,2015,Kingdom: Classic,0.0,8.01,20095,Singleplayer
383,2015,Endless Sky,0.0,8.01,5833,Space
384,2015,Streets of Fury EX,9.99,8.01,626,Beat 'em up
385,2015,A Good Snowman Is Hard To Build,14.99,8.0,820,Cute
386,2015,Rampage Knights,3.89,8.0,3401,Co-op
387,2015,Barony,14.99,8.0,4685,Action Roguelike
388,2015,Divinity: Original Sin - Enhanced Edition,39.99,7.99,23620,RPG
389,2015,Robot Roller-Derby Disco Dodgeball,9.99,7.99,3856,Arena Shooter
